Loan_ID,Application_Date,Age,Gender,Region,Annual_Income,Employment_Years,Home_Ownership,Education,Loan_Purpose,Credit_Score,Previous_Defaults,Loan_Amount_Requested,Application_Status,Funded_Amount,Interest_Rate,Loan_Term_Months,Loan_Status,Loan_Quality,Total_Received,Total_Interest_Received
LN100014,05-04-2023,26,Male,West,57600,7,RENT,Bachelor's,Home Improvement,701,0,23400,Approved,21830,8.07,60,Fully Paid,Good Loan,21830,880.84
LN100015,22-01-2022,42,Male,North,118400,23,RENT,High School,Debt Consolidation,465,0,35500,Approved,34250,17.05,36,Fully Paid,Good Loan,34250,2919.81
LN100016,10-09-2022,21,Male,West,54400,21,MORTGAGE,High School,Personal,527,0,18500,Approved,18110,15.32,60,Fully Paid,Good Loan,18110,1387.23
LN100017,18-01-2024,24,Male,Central,47300,20,MORTGAGE,High School,Car,666,0,28100,Approved,27260,8.89,60,Fully Paid,Good Loan,27260,1211.71
LN100018,06-05-2024,63,Male,South,61600,25,RENT,Bachelor's,Education,709,0,19200,Approved,17210,7.95,12,Fully Paid,Good Loan,17210,684.1
LN100019,20-04-2023,49,Male,East,39200,9,MORTGAGE,Bachelor's,Debt Consolidation,359,0,34400,Rejected,0,,60,Not Funded,N/A,0,0
LN100020,18-12-2024,41,Female,West,49100,12,OWN,Bachelor's,Medical,463,0,39800,Rejected,0,,36,Not Funded,N/A,0,0
LN100021,26-05-2023,46,Male,North,54900,13,RENT,High School,Debt Consolidation,529,0,10500,Rejected,0,,24,Not Funded,N/A,0,0
LN100022,01-12-2023,34,Female,East,71900,8,MORTGAGE,PhD,Personal,456,0,19500,Rejected,0,,12,Not Funded,N/A,0,0
LN100023,02-09-2024,29,Male,South,40000,6,RENT,High School,Home Improvement,673,0,4200,Approved,4190,8.55,60,Charged Off,Bad Loan,370.73,15.85
LN100024,09-07-2022,32,Female,Central,54000,30,MORTGAGE,Bachelor's,Education,541,1,6500,Rejected,0,,48,Not Funded,N/A,0,0
LN100025,15-08-2024,62,Female,Central,24200,15,RENT,Bachelor's,Debt Consolidation,467,0,37200,Rejected,0,,24,Not Funded,N/A,0,0
LN100026,18-11-2023,26,Male,West,68400,7,MORTGAGE,High School,Business,420,0,22200,Rejected,0,,12,Not Funded,N/A,0,0
LN100027,15-08-2024,40,Male,West,48800,14,RENT,Bachelor's,Medical,301,0,16400,Rejected,0,,36,Not Funded,N/A,0,0
LN100028,17-07-2023,44,Female,West,126500,24,OWN,Bachelor's,Business,417,0,27200,Approved,27000,18.29,36,Charged Off,Bad Loan,1164.39,106.48
LN100029,11-04-2024,47,Female,South,63500,14,MORTGAGE,Bachelor's,Car,806,2,22800,Rejected,0,,24,Not Funded,N/A,0,0
LN100030,09-10-2023,58,Female,South,36700,24,RENT,Master's,Medical,673,0,12300,Rejected,0,,36,Not Funded,N/A,0,0
LN100031,21-01-2022,28,Female,East,33100,6,MORTGAGE,High School,Debt Consolidation,407,0,9800,Rejected,0,,12,Not Funded,N/A,0,0
LN100032,20-04-2024,21,Male,Central,73000,25,MORTGAGE,Master's,Education,598,0,24000,Rejected,0,,12,Not Funded,N/A,0,0
LN100033,16-06-2022,44,Male,West,121600,7,MORTGAGE,Master's,Education,732,0,8300,Approved,7300,8.69,12,Charged Off,Bad Loan,1140.01,49.53
LN100034,23-01-2023,27,Male,East,105900,17,OWN,Master's,Home Improvement,411,0,6400,Approved,6180,16.02,60,Charged Off,Bad Loan,1967.8,157.62
LN100035,24-08-2023,39,Male,West,31400,20,MORTGAGE,Bachelor's,Home Improvement,705,1,13400,Rejected,0,,36,Not Funded,N/A,0,0
LN100036,12-11-2022,42,Male,South,59400,15,MORTGAGE,High School,Debt Consolidation,799,0,34600,Approved,29650,7.05,60,Fully Paid,Good Loan,29650,1045.16
LN100037,14-01-2022,55,Female,West,90000,2,RENT,Bachelor's,Home Improvement,318,0,2400,Rejected,0,,36,Not Funded,N/A,0,0
LN100038,30-08-2022,50,Male,South,29600,0,RENT,High School,Home Improvement,319,0,33500,Rejected,0,,36,Not Funded,N/A,0,0
LN100039,16-02-2024,49,Male,South,86400,12,OWN,High School,Personal,805,0,25200,Approved,22510,8.33,36,Current,Good Loan,11205.92,466.73
LN100040,19-07-2023,42,Female,East,39500,31,OWN,High School,Education,453,0,2600,Rejected,0,,48,Not Funded,N/A,0,0
LN100041,16-06-2024,31,Female,West,49200,11,RENT,Bachelor's,Business,814,0,24500,Approved,21580,5.53,60,Fully Paid,Good Loan,21580,596.69
LN100042,02-04-2022,40,Male,South,61400,30,MORTGAGE,High School,Medical,777,0,17600,Approved,15840,5.69,24,Fully Paid,Good Loan,15840,450.65
LN100043,13-08-2024,49,Female,East,87600,1,MORTGAGE,Master's,Medical,683,2,33800,Rejected,0,,60,Not Funded,N/A,0,0
LN100044,24-05-2023,61,Female,West,107900,7,MORTGAGE,Bachelor's,Business,497,0,36400,Rejected,0,,36,Not Funded,N/A,0,0
LN100045,15-02-2024,62,Male,West,46800,24,MORTGAGE,High School,Debt Consolidation,478,0,12200,Rejected,0,,24,Not Funded,N/A,0,0
LN100046,04-02-2022,54,Male,Central,43700,4,RENT,Master's,Medical,827,0,31600,Approved,30120,6.51,24,Current,Good Loan,9486.08,308.77
LN100047,25-07-2022,21,Male,South,42400,1,OWN,Master's,Debt Consolidation,346,0,13100,Rejected,0,,24,Not Funded,N/A,0,0
LN100048,22-10-2024,51,Male,Central,76900,2,RENT,High School,Car,482,0,12500,Rejected,0,,48,Not Funded,N/A,0,0
LN100049,18-10-2024,50,Male,East,84800,21,MORTGAGE,High School,Home Improvement,653,0,8500,Approved,7280,10.95,12,Fully Paid,Good Loan,7280,398.58
LN100050,20-07-2023,38,Female,West,81000,32,RENT,Bachelor's,Education,786,0,27500,Approved,25310,6.33,36,Charged Off,Bad Loan,9065.45,286.92
LN100051,04-12-2023,37,Female,West,61200,31,MORTGAGE,Master's,Medical,515,0,11200,Rejected,0,,36,Not Funded,N/A,0,0
LN100052,06-02-2023,58,Female,North,63900,16,MORTGAGE,High School,Debt Consolidation,722,0,19100,Approved,18460,6.04,60,Fully Paid,Good Loan,18460,557.49
LN100053,31-12-2023,34,Female,North,48800,17,MORTGAGE,Master's,Home Improvement,308,0,32700,Rejected,0,,24,Not Funded,N/A,0,0
LN100054,11-06-2022,43,Female,West,50900,2,MORTGAGE,Bachelor's,Education,512,0,31900,Rejected,0,,48,Not Funded,N/A,0,0
LN100055,21-07-2022,45,Male,East,79600,5,MORTGAGE,Bachelor's,Car,438,0,34400,Approved,29560,15.93,24,Current,Good Loan,18428.86,1467.86
LN100056,22-09-2024,35,Male,West,61000,12,RENT,Bachelor's,Medical,620,0,7300,Approved,6600,10.76,60,Current,Good Loan,4919.49,264.67
LN100057,27-09-2022,42,Female,East,43800,30,OWN,Bachelor's,Car,390,0,23900,Rejected,0,,12,Not Funded,N/A,0,0
LN100058,26-03-2024,23,Male,South,88800,16,RENT,High School,Debt Consolidation,614,0,36700,Approved,31890,8.18,36,Fully Paid,Good Loan,31890,1304.3
LN100059,01-04-2023,39,Male,South,41200,20,MORTGAGE,Bachelor's,Debt Consolidation,411,0,2600,Rejected,0,,24,Not Funded,N/A,0,0
LN100060,13-10-2024,64,Female,West,57800,15,RENT,Bachelor's,Medical,412,1,32000,Rejected,0,,36,Not Funded,N/A,0,0
LN100061,23-10-2022,54,Female,South,31000,16,RENT,Master's,Home Improvement,673,0,10600,Approved,10140,10.13,60,Charged Off,Bad Loan,3329.63,168.65
LN100062,21-12-2023,55,Male,West,35400,31,RENT,Master's,Business,562,0,27100,Approved,23190,11.96,12,Current,Good Loan,12599.94,753.48
LN100063,04-12-2022,21,Female,South,54600,0,OWN,High School,Education,667,0,29000,Approved,28450,9.01,48,Fully Paid,Good Loan,28450,1281.67
LN100064,28-05-2024,41,Male,West,39600,7,RENT,High School,Personal,677,0,37100,Approved,31900,10.11,12,Fully Paid,Good Loan,31900,1612.54
LN100065,12-12-2024,49,Female,North,48900,0,RENT,Master's,Debt Consolidation,344,0,20800,Rejected,0,,48,Not Funded,N/A,0,0
LN100066,02-03-2024,26,Male,North,93500,1,MORTGAGE,Master's,Debt Consolidation,570,0,34100,Approved,29780,13.42,24,Charged Off,Bad Loan,10004.44,671.3
LN100067,05-08-2022,57,Female,West,51200,23,RENT,High School,Car,794,0,2800,Approved,2440,8.62,12,Fully Paid,Good Loan,2440,105.16
LN100068,03-02-2024,21,Male,East,81200,26,MORTGAGE,Bachelor's,Debt Consolidation,546,1,17400,Approved,16670,14.6,24,Current,Good Loan,6506.24,474.96
LN100069,07-07-2022,21,Female,North,38100,19,OWN,Bachelor's,Business,473,0,18100,Rejected,0,,12,Not Funded,N/A,0,0
LN100070,15-01-2023,47,Male,Central,69400,20,MORTGAGE,Bachelor's,Medical,335,0,22000,Rejected,0,,24,Not Funded,N/A,0,0
LN100071,08-05-2023,41,Male,South,34500,34,RENT,Bachelor's,Debt Consolidation,601,0,19800,Rejected,0,,60,Not Funded,N/A,0,0
LN100072,30-11-2024,36,Male,South,48400,14,RENT,Master's,Debt Consolidation,457,0,38800,Rejected,0,,60,Not Funded,N/A,0,0
LN100073,15-01-2022,64,Male,North,70600,29,RENT,High School,Home Improvement,332,2,4100,Rejected,0,,48,Not Funded,N/A,0,0
LN100074,06-03-2022,60,Male,South,54500,3,RENT,Bachelor's,Debt Consolidation,681,0,11300,Approved,10020,8.89,12,Fully Paid,Good Loan,10020,445.39
LN100075,05-06-2023,46,Male,East,82800,14,RENT,Bachelor's,Education,723,0,38800,Approved,38780,10.39,12,Fully Paid,Good Loan,38780,2014.62
LN100076,10-10-2023,36,Female,South,73200,22,OWN,Bachelor's,Debt Consolidation,594,0,18400,Approved,18340,13.69,48,Fully Paid,Good Loan,18340,1255.37
LN100077,22-12-2024,48,Female,West,47200,14,MORTGAGE,Bachelor's,Debt Consolidation,714,0,23300,Approved,21870,8.81,24,Current,Good Loan,16697.17,735.51
LN100078,16-08-2023,21,Male,South,97100,25,RENT,High School,Business,618,0,4200,Approved,3700,10.7,12,Fully Paid,Good Loan,3700,197.95
LN100079,27-01-2023,56,Female,West,65900,11,RENT,High School,Personal,324,0,12100,Rejected,0,,48,Not Funded,N/A,0,0
LN100080,23-02-2023,30,Male,North,48500,17,MORTGAGE,Bachelor's,Personal,733,0,2500,Approved,2320,10.08,48,Fully Paid,Good Loan,2320,116.93
LN100081,16-10-2022,63,Male,South,57800,5,RENT,Bachelor's,Car,358,0,6400,Rejected,0,,12,Not Funded,N/A,0,0
LN100082,14-01-2023,37,Male,North,56400,17,OWN,High School,Business,476,0,25700,Rejected,0,,36,Not Funded,N/A,0,0
LN100083,19-08-2022,43,Female,West,59300,23,RENT,Bachelor's,Debt Consolidation,841,0,30800,Approved,29360,5.09,24,Current,Good Loan,15530.63,395.25
LN100084,14-10-2024,27,Male,East,50800,27,OWN,Master's,Medical,344,0,34900,Rejected,0,,36,Not Funded,N/A,0,0
LN100085,10-02-2022,64,Female,West,64100,14,MORTGAGE,Bachelor's,Home Improvement,751,0,10800,Approved,10550,9.82,36,Current,Good Loan,6661.86,327.1
LN100086,17-11-2024,27,Male,South,77300,18,OWN,Bachelor's,Medical,608,0,14000,Approved,13020,11.81,24,Charged Off,Bad Loan,3407.11,201.19
LN100087,15-05-2022,64,Male,West,65600,4,RENT,Bachelor's,Debt Consolidation,453,0,23200,Approved,23160,15.85,60,Fully Paid,Good Loan,23160,1835.43
LN100088,20-07-2022,35,Male,East,64600,3,RENT,High School,Business,439,0,4300,Approved,4140,14.57,12,Charged Off,Bad Loan,24.32,1.77
LN100089,19-02-2024,54,Female,North,51800,16,MORTGAGE,Bachelor's,Home Improvement,684,0,32500,Rejected,0,,48,Not Funded,N/A,0,0
LN100090,18-07-2024,24,Female,South,36400,9,OWN,High School,Debt Consolidation,332,0,19800,Rejected,0,,12,Not Funded,N/A,0,0
LN100091,22-11-2024,34,Female,East,32600,11,MORTGAGE,Bachelor's,Education,670,2,38700,Rejected,0,,36,Not Funded,N/A,0,0
LN100092,07-12-2024,34,Female,East,39400,4,MORTGAGE,Bachelor's,Education,477,0,5600,Rejected,0,,60,Not Funded,N/A,0,0
LN100093,18-05-2023,36,Female,North,44900,6,RENT,High School,Debt Consolidation,659,0,6200,Approved,6110,9.79,60,Fully Paid,Good Loan,6110,299.08
LN100094,11-02-2023,27,Female,West,115000,22,RENT,High School,Personal,735,0,14600,Approved,12910,8.2,12,Charged Off,Bad Loan,2718.95,111.48
LN100095,15-03-2024,52,Male,East,95200,1,RENT,High School,Home Improvement,305,0,9100,Rejected,0,,36,Not Funded,N/A,0,0
LN100096,09-04-2022,39,Female,East,41500,29,MORTGAGE,Bachelor's,Personal,530,0,28200,Approved,25260,13.91,24,Fully Paid,Good Loan,25260,1756.83
LN100097,15-11-2023,22,Male,South,66300,4,RENT,High School,Business,700,2,37900,Rejected,0,,48,Not Funded,N/A,0,0
LN100098,27-12-2023,30,Female,East,52600,19,RENT,High School,Education,322,1,4500,Rejected,0,,60,Not Funded,N/A,0,0
LN100099,18-08-2024,37,Female,North,60200,25,MORTGAGE,Bachelor's,Personal,460,0,10400,Rejected,0,,48,Not Funded,N/A,0,0
LN100100,05-09-2023,57,Female,North,42300,5,OWN,High School,Car,493,0,10300,Rejected,0,,36,Not Funded,N/A,0,0
LN100101,05-10-2023,32,Male,West,148600,28,MORTGAGE,Bachelor's,Debt Consolidation,565,0,20900,Approved,18100,13.48,12,Current,Good Loan,7658,516.15
LN100102,25-10-2024,26,Female,South,125400,9,MORTGAGE,Master's,Debt Consolidation,382,0,18600,Approved,16190,18.21,36,Current,Good Loan,10468.98,953.2
LN100103,18-05-2023,42,Female,South,47500,15,OWN,Master's,Home Improvement,467,0,29300,Approved,26570,15.44,60,Fully Paid,Good Loan,26570,2051.2
LN100104,06-02-2024,52,Male,North,41400,33,RENT,High School,Business,643,1,29600,Rejected,0,,12,Not Funded,N/A,0,0
LN100105,02-02-2023,61,Male,South,82200,30,RENT,Bachelor's,Medical,311,0,23300,Rejected,0,,48,Not Funded,N/A,0,0
LN100106,20-05-2024,40,Female,North,31400,4,MORTGAGE,Bachelor's,Education,833,0,24000,Approved,22460,4.38,60,Current,Good Loan,9662.01,211.6
LN100107,05-03-2024,21,Female,South,79300,32,RENT,Master's,Home Improvement,829,0,33900,Approved,29760,5.38,12,Charged Off,Bad Loan,1177.75,31.68
LN100108,28-01-2023,26,Male,East,57300,18,RENT,Bachelor's,Business,749,0,16500,Approved,14100,8.16,12,Current,Good Loan,6751.76,275.47
LN100109,26-07-2022,39,Male,South,28400,31,RENT,Bachelor's,Education,789,0,1500,Approved,1300,4.6,48,Fully Paid,Good Loan,1300,29.9
LN100110,04-11-2024,38,Male,Central,50600,22,MORTGAGE,Master's,Business,466,0,9300,Rejected,0,,36,Not Funded,N/A,0,0
LN100111,10-06-2024,26,Male,South,40300,2,RENT,High School,Education,764,0,2400,Approved,2340,6.07,36,Current,Good Loan,577.32,17.52
LN100112,13-05-2024,53,Female,South,58300,0,RENT,Bachelor's,Business,306,0,16300,Rejected,0,,36,Not Funded,N/A,0,0
LN100113,13-01-2024,43,Female,East,55600,27,RENT,Bachelor's,Business,462,0,15000,Rejected,0,,60,Not Funded,N/A,0,0
LN100114,18-07-2023,43,Female,North,29500,4,RENT,Master's,Personal,494,0,4800,Approved,4270,15.17,12,Fully Paid,Good Loan,4270,323.88
LN100115,17-10-2024,46,Male,Central,46600,12,OWN,PhD,Home Improvement,618,0,30400,Rejected,0,,24,Not Funded,N/A,0,0
LN100116,06-04-2022,33,Female,East,70200,10,OWN,High School,Medical,429,0,22600,Rejected,0,,24,Not Funded,N/A,0,0
LN100117,30-04-2023,27,Male,North,75800,21,MORTGAGE,High School,Home Improvement,408,0,9800,Rejected,0,,48,Not Funded,N/A,0,0
LN100118,19-08-2022,35,Male,West,46000,22,OWN,High School,Home Improvement,518,0,30600,Rejected,0,,12,Not Funded,N/A,0,0
LN100119,19-01-2024,64,Male,North,66600,11,RENT,High School,Personal,805,1,27000,Approved,24030,7.82,60,Fully Paid,Good Loan,24030,939.57
LN100120,25-06-2023,47,Male,Central,61100,20,MORTGAGE,Bachelor's,Education,728,0,8500,Approved,7860,8.24,12,Fully Paid,Good Loan,7860,323.83
LN100121,25-11-2024,46,Male,Central,52900,18,RENT,Bachelor's,Personal,543,0,39300,Rejected,0,,48,Not Funded,N/A,0,0
LN100122,09-06-2023,53,Male,East,66800,4,MORTGAGE,Bachelor's,Personal,737,0,7900,Approved,7180,7.23,24,Charged Off,Bad Loan,786.85,28.44
LN100123,01-08-2023,35,Male,North,35700,23,RENT,Bachelor's,Debt Consolidation,606,0,31100,Rejected,0,,60,Not Funded,N/A,0,0
LN100124,13-11-2023,56,Male,North,54200,29,MORTGAGE,High School,Personal,554,0,38800,Rejected,0,,24,Not Funded,N/A,0,0
LN100125,11-07-2023,47,Female,South,26300,7,RENT,Bachelor's,Debt Consolidation,626,1,29300,Approved,28060,9.89,36,Current,Good Loan,8004.39,395.82
LN100126,09-10-2024,25,Male,South,52900,1,RENT,Master's,Debt Consolidation,708,0,27000,Approved,23320,7.29,48,Current,Good Loan,6971.47,254.11
LN100127,08-10-2023,22,Female,East,102900,33,MORTGAGE,Bachelor's,Medical,300,0,36200,Rejected,0,,24,Not Funded,N/A,0,0
LN100128,06-03-2024,53,Male,Central,46900,22,MORTGAGE,High School,Home Improvement,493,0,11500,Rejected,0,,60,Not Funded,N/A,0,0
LN100129,17-11-2024,36,Female,South,98300,2,MORTGAGE,High School,Personal,663,0,11800,Approved,10960,10.71,12,Charged Off,Bad Loan,3797.13,203.34
LN100130,09-07-2022,43,Female,West,47300,23,MORTGAGE,High School,Business,421,0,26000,Rejected,0,,48,Not Funded,N/A,0,0
LN100131,25-09-2023,58,Female,West,33300,17,RENT,Master's,Home Improvement,663,0,35400,Rejected,0,,24,Not Funded,N/A,0,0
LN100132,20-09-2023,36,Female,Central,73100,30,MORTGAGE,High School,Debt Consolidation,303,0,25100,Rejected,0,,36,Not Funded,N/A,0,0
LN100133,30-08-2024,34,Male,North,66800,13,RENT,Master's,Business,448,1,39100,Rejected,0,,24,Not Funded,N/A,0,0
LN100134,11-12-2023,49,Male,South,153800,0,MORTGAGE,Master's,Debt Consolidation,360,0,9700,Approved,9240,17.85,60,Charged Off,Bad Loan,791.64,70.65
LN100135,11-10-2023,46,Male,West,34900,13,MORTGAGE,Bachelor's,Debt Consolidation,416,0,33200,Rejected,0,,36,Not Funded,N/A,0,0
LN100136,14-11-2022,55,Male,West,63600,4,OWN,Bachelor's,Education,537,0,37200,Rejected,0,,36,Not Funded,N/A,0,0
LN100137,15-11-2023,35,Male,Central,64600,30,MORTGAGE,Bachelor's,Personal,437,0,17700,Approved,16880,17.45,48,Current,Good Loan,13297.61,1160.22
LN100138,26-10-2023,23,Female,West,87200,30,RENT,Master's,Home Improvement,757,1,38500,Approved,35690,7.71,60,Fully Paid,Good Loan,35690,1375.85
LN100139,18-03-2023,43,Male,South,68800,29,MORTGAGE,High School,Debt Consolidation,784,1,8900,Approved,8110,5.63,60,Fully Paid,Good Loan,8110,228.3
LN100140,18-07-2023,49,Female,East,47600,0,RENT,PhD,Debt Consolidation,381,0,38200,Rejected,0,,36,Not Funded,N/A,0,0
LN100141,09-08-2024,54,Female,North,33500,2,RENT,Bachelor's,Debt Consolidation,346,1,36200,Rejected,0,,12,Not Funded,N/A,0,0
LN100142,30-11-2023,53,Female,East,63300,19,MORTGAGE,Bachelor's,Debt Consolidation,643,0,3600,Approved,3320,10.16,12,Current,Good Loan,1064.82,54.09
LN100143,23-04-2022,61,Female,East,64100,20,RENT,Bachelor's,Home Improvement,638,0,21300,Approved,19370,10.48,48,Current,Good Loan,13305.37,697.2
LN100144,02-01-2022,61,Female,West,72000,29,MORTGAGE,Bachelor's,Education,535,0,21600,Approved,21090,13.83,48,Fully Paid,Good Loan,21090,1458.37
LN100145,04-10-2023,43,Male,Central,47600,29,RENT,Bachelor's,Debt Consolidation,763,0,3200,Approved,2770,6.67,48,Fully Paid,Good Loan,2770,92.38
LN100146,08-08-2022,27,Male,West,61400,4,RENT,Bachelor's,Debt Consolidation,675,1,2500,Approved,2140,9.97,48,Charged Off,Bad Loan,448.85,22.38
LN100147,04-05-2024,23,Female,South,27000,9,MORTGAGE,High School,Personal,422,0,1200,Rejected,0,,36,Not Funded,N/A,0,0
LN100148,20-01-2023,52,Female,North,34100,23,OWN,High School,Medical,545,0,21500,Approved,20460,12,48,Current,Good Loan,10233.7,614.02
LN100149,12-12-2024,51,Female,Central,82500,5,MORTGAGE,High School,Debt Consolidation,553,1,19100,Rejected,0,,12,Not Funded,N/A,0,0
LN100150,31-12-2023,38,Male,North,58700,9,RENT,Bachelor's,Education,580,0,37700,Approved,35620,13.68,24,Fully Paid,Good Loan,35620,2436.41
LN100151,04-09-2022,63,Female,North,67100,9,RENT,Bachelor's,Business,366,0,14300,Rejected,0,,12,Not Funded,N/A,0,0
LN100152,15-04-2024,27,Male,North,41400,24,OWN,Bachelor's,Medical,832,0,26700,Approved,24760,5.31,48,Fully Paid,Good Loan,24760,657.38
LN100153,22-07-2022,61,Male,East,39100,13,MORTGAGE,High School,Car,833,1,1300,Approved,1250,4,36,Charged Off,Bad Loan,257.12,5.14
LN100154,03-05-2022,21,Male,North,44800,12,OWN,High School,Home Improvement,474,2,26900,Rejected,0,,60,Not Funded,N/A,0,0
LN100155,05-02-2023,34,Male,Central,60300,10,RENT,High School,Education,490,0,36600,Rejected,0,,24,Not Funded,N/A,0,0
LN100156,06-02-2024,52,Male,Central,73800,10,OWN,High School,Car,584,1,14800,Rejected,0,,24,Not Funded,N/A,0,0
LN100157,21-10-2022,26,Male,Central,48400,15,MORTGAGE,High School,Education,604,1,13200,Rejected,0,,48,Not Funded,N/A,0,0
LN100158,07-10-2022,59,Male,North,25700,32,OWN,Master's,Personal,706,0,25400,Rejected,0,,48,Not Funded,N/A,0,0
LN100159,02-06-2024,30,Male,Central,64900,31,RENT,Bachelor's,Business,631,0,13800,Approved,13570,10.23,24,Charged Off,Bad Loan,5328.48,272.55
LN100160,17-07-2022,27,Female,Central,61100,9,MORTGAGE,PhD,Car,604,0,16700,Approved,15290,13.6,36,Current,Good Loan,10740.16,730.33
LN100161,08-09-2024,46,Female,Central,67200,14,MORTGAGE,High School,Personal,850,0,11700,Approved,10360,6.19,24,Current,Good Loan,3483.62,107.82
LN100162,22-01-2024,54,Male,West,79700,15,MORTGAGE,Master's,Business,636,1,14500,Approved,12990,11.1,36,Fully Paid,Good Loan,12990,720.94
LN100163,24-05-2022,50,Male,West,76900,26,MORTGAGE,Bachelor's,Debt Consolidation,329,0,27500,Rejected,0,,12,Not Funded,N/A,0,0
LN100164,01-09-2023,56,Female,North,99900,31,MORTGAGE,Bachelor's,Car,739,0,37000,Approved,34860,8.43,48,Fully Paid,Good Loan,34860,1469.35
LN100165,06-07-2022,41,Male,Central,54900,5,OWN,Bachelor's,Car,557,1,23700,Rejected,0,,36,Not Funded,N/A,0,0
LN100166,09-04-2023,37,Male,North,44600,7,MORTGAGE,Bachelor's,Home Improvement,533,0,1400,Rejected,0,,24,Not Funded,N/A,0,0
LN100167,22-10-2023,53,Female,South,86500,24,MORTGAGE,Master's,Debt Consolidation,325,0,11300,Approved,9920,20.16,12,Current,Good Loan,4660.26,469.75
LN100168,03-02-2024,30,Female,Central,81500,6,MORTGAGE,Bachelor's,Personal,822,0,38100,Approved,33540,4.45,24,Fully Paid,Good Loan,33540,746.27
LN100169,12-08-2024,62,Male,South,48800,16,MORTGAGE,Bachelor's,Business,683,0,36500,Approved,36140,10.26,12,Current,Good Loan,30240.44,1551.33
LN100170,07-02-2023,32,Male,North,89100,29,RENT,High School,Business,835,1,5500,Approved,4810,4.4,60,Fully Paid,Good Loan,4810,105.82
LN100171,27-05-2022,36,Male,Central,56000,1,RENT,High School,Personal,692,0,36400,Approved,32830,8.8,12,Charged Off,Bad Loan,1081.66,47.59
LN100172,13-05-2024,61,Male,Central,96200,16,MORTGAGE,PhD,Home Improvement,761,2,38600,Approved,35620,7.61,36,Charged Off,Bad Loan,3257.04,123.93
LN100173,04-05-2023,52,Male,North,118000,3,RENT,Bachelor's,Car,437,0,13700,Rejected,0,,60,Not Funded,N/A,0,0
LN100174,17-07-2024,35,Male,Central,177800,25,MORTGAGE,Master's,Medical,409,0,28300,Approved,27700,16.93,12,Fully Paid,Good Loan,27700,2344.81
LN100175,05-07-2023,47,Male,South,55700,13,MORTGAGE,Bachelor's,Personal,774,0,22800,Approved,19770,5.13,12,Current,Good Loan,14257.01,365.69
LN100176,04-12-2022,48,Female,South,102400,7,MORTGAGE,Master's,Home Improvement,627,1,14100,Approved,12210,11.14,36,Fully Paid,Good Loan,12210,680.1
LN100177,21-05-2024,37,Female,South,79600,4,OWN,High School,Personal,505,0,7000,Rejected,0,,48,Not Funded,N/A,0,0
LN100178,03-10-2023,22,Female,North,83000,4,MORTGAGE,High School,Business,370,0,15300,Rejected,0,,48,Not Funded,N/A,0,0
LN100179,18-04-2023,56,Female,South,65600,4,RENT,Bachelor's,Business,509,0,37200,Rejected,0,,48,Not Funded,N/A,0,0
LN100180,31-05-2022,27,Male,North,83100,26,RENT,Bachelor's,Home Improvement,484,1,32600,Rejected,0,,60,Not Funded,N/A,0,0
